Name	Used	Potential
ELECTRICITY	21.327911	Infinity
GASOLINE	0.000387	Infinity
DIESEL	0.000613	Infinity
BIOETHANOL	2890.112147	100000.000000
BIODIESEL	5800.081345	100000.000000
LFO	0.000585	Infinity
GAS	83.665301	Infinity
GAS_RE	0.000000	0.000000
WOOD	75072.999782	75073.000000
WET_BIOMASS	49781.999503	49782.000000
COAL	0.000795	Infinity
URANIUM	0.000000	0.000000
WASTE	0.004329	10347.000000
H2	0.000001	Infinity
H2_RE	0.000000	0.000000
AMMONIA	0.000208	Infinity
METHANOL	0.000280	Infinity
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	214.277303	Infinity
H2_EXPORT	0.000006	Infinity
GAS_RE_EXPORT	0.000002	Infinity
AMMONIA_EXPORT	0.000001	Infinity
METHANOL_EXPORT	0.000000	Infinity
CO2_EMISSIONS	21309.653258	Infinity
RES_WIND	211122.497559	Infinity
RES_SOLAR	62012.507633	Infinity
RES_HYDRO	56889.003893	Infinity
RES_GEO	0.000568	Infinity
CO2_ATM	0.000290	Infinity
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
