Name	Used	Potential
ELECTRICITY	0.000315	Infinity
GASOLINE	0.000199	Infinity
DIESEL	0.000236	Infinity
BIOETHANOL	0.003095	Infinity
BIODIESEL	32721.230428	Infinity
LFO	0.000239	Infinity
GAS	0.000001	Infinity
GAS_RE	0.000252	Infinity
WOOD	92378.540165	215000.000000
WET_BIOMASS	0.092270	250000.000000
COAL	0.000515	Infinity
URANIUM	105110.620430	Infinity
WASTE	0.001334	53829.000000
H2	0.000001	Infinity
H2_RE	0.000015	Infinity
AMMONIA	0.000000	Infinity
METHANOL	0.000204	Infinity
AMMONIA_RE	0.008380	Infinity
METHANOL_RE	44113.793267	Infinity
ELEC_EXPORT	1081.953481	Infinity
CO2_EMISSIONS	20321.993555	Infinity
RES_WIND	141206.326381	Infinity
RES_SOLAR	977592.807402	Infinity
RES_HYDRO	56659.346974	Infinity
RES_GEO	0.105953	Infinity
CO2_ATM	0.012830	Infinity
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
