Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	IMPORTED_GAS	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	H2_INFRASTRUCTURE	CHARGING_STATION	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1			0.385489		0.000001																																																																																-0.384152								-0.000000												-0.000003																														0.000014																																														-0.005868	0.004528																			0.000000	
 1 	 2			0.155962		0.000001																																																																																-0.153792								-0.000000												-0.000003																														0.000012																																														-0.006251	0.004074																			0.000000	
 1 	 3			0.078279		0.000001																																																																																-0.076569								-0.000000												-0.000003																														0.000010																																														-0.005917	0.004202																			0.000000	
 1 	 4			0.923615		0.000001																																																																																-0.922749								-0.000001												-0.000003																														0.000012																																														-0.005445	0.004585																			0.000000	
 1 	 5			2.459852		0.000001																																																																																-2.460665								-0.000001												-0.000003																														0.000014																																														-0.004494	0.005326																			0.000000	
 1 	 6			6.151377		0.000001																																																																																-6.151661								-0.000004												-0.000003																														0.000014																																														-0.004835	0.005139																			0.000000	
 1 	 7			11.917522		0.000001																																																																																-11.917208								-0.000007												-0.000003																														0.000014																																														-0.005159	0.004864																			0.000000	
 1 	 8			10.379668		0.000001																																																																																-10.379489								-0.000006												-0.000003																														0.000014																																														-0.005092	0.004931																			0.000000	
 1 	 9			9.610753		0.000001																																																																																-9.610662								-0.000006												-0.000003																														0.000014																																														-0.005046	0.004974																			0.000000	
 1 	 10			10.764137		0.000001																																																																																-10.763967								-0.000006												-0.000003																														0.000012																																														-0.005087	0.004937																			0.000000	
 1 	 11			12.301887		0.000001																																																																																-12.301621								-0.000007												-0.000003																														0.000013																																														-0.005135	0.004889																			0.000000	
 1 	 12			13.532172		0.000001																																																																																-13.531822								-0.000008												-0.000003																														0.000012																																														-0.004917	0.004587																			0.000000	
 1 	 13			12.301836		0.000001																																																																																-12.301621								-0.000007												-0.000003																														0.000012																																														-0.005110	0.004915																			0.000000	
 1 	 14			12.455597		0.000001																																																																																-12.455413								-0.000007												-0.000003																														0.000012																																														-0.005095	0.004931																			0.000000	
 1 	 15			13.993412		0.000001																																																																																-13.993132								-0.000008												-0.000003																														0.000013																																														-0.004882	0.004621																			0.000000	
 1 	 16			14.608485		0.000001																																																																																-14.608232								-0.000009												-0.000003																														0.000012																																														-0.004867	0.004635																			0.000000	
 1 	 17			14.608419		0.000001																																																																																-14.608232								-0.000009												-0.000003																														0.000014																																														-0.004834	0.004665																			0.000000	
 1 	 18			10.763713		0.000001																																																																																-10.763967								-0.000006												-0.000003																														0.000014																																														-0.004879	0.005151																			0.000000	
 1 	 19			7.687887		0.000001																																																																																-7.688529								-0.000005												-0.000003																														0.000014																																														-0.004674	0.005335																			0.000000	
 1 	 20			5.764635		0.000001																																																																																-5.765546								-0.000003												-0.000003																														0.000014																																														-0.004524	0.005454																			0.000000	
 1 	 21			3.840334		0.000001																																																																																-3.841516								-0.000002												-0.000003																														0.000014																																														-0.004356	0.005557																			0.000000	
 1 	 22			2.459374		0.000001																																																																																-2.460665								-0.000001												-0.000003																														0.000015																																														-0.004273	0.005583																			0.000000	
 1 	 23			1.536699		0.000001																																																																																-1.537915								-0.000001												-0.000003																														0.000015																																														-0.004309	0.005544																			0.000000	
 1 	 24			0.615484		0.000001																																																																																-0.615166								-0.000000												-0.000003																														0.000014																																														-0.005294	0.004980																			0.000000	
 2 	 1			0.384793		0.000000																																																																																-0.384152								-0.000000												-0.000003																														0.000019																																														-0.005679	0.005030																			0.000000	
 2 	 2			0.155543		0.000000																																																																																-0.153792								-0.000000												-0.000003																														0.000016																																														-0.006027	0.004265																			0.000000	
 2 	 3			0.078237		0.000000																																																																																-0.076569								-0.000000												-0.000003																														0.000015																																														-0.005770	0.004090																			0.000000	
 2 	 4			0.923840		0.000000																																																																																-0.922749								-0.000001												-0.000003																														0.000019																																														-0.005527	0.004436																			0.000000	
 2 	 5			2.460878		0.000000																																																																																-2.460665								-0.000001												-0.000003																														0.000019																																														-0.004844	0.004630																			0.000000	
 2 	 6			6.151794		0.000000																																																																																-6.151661								-0.000004												-0.000003																														0.000019																																														-0.005072	0.004946																			0.000000	
 2 	 7			11.917855		0.000000																																																																																-11.917208								-0.000007												-0.000003																														0.000019																																														-0.005311	0.004670																			0.000000	
 2 	 8			10.379930		0.000000																																																																																-10.379489								-0.000006												-0.000003																														0.000019																																														-0.005216	0.004781																			0.000000	
 2 	 9			9.610946		0.000000																																																																																-9.610662								-0.000006												-0.000003																														0.000019																																														-0.005142	0.004865																			0.000000	
 2 	 10			10.764294		0.000000																																																																																-10.763967								-0.000006												-0.000003																														0.000019																																														-0.005158	0.004839																			0.000000	
 2 	 11			12.302013		0.000000																																																																																-12.301621								-0.000007												-0.000003																														0.000017																																														-0.005184	0.004800																			0.000000	
 2 	 12			13.532187		0.000000																																																																																-13.531822								-0.000008												-0.000003																														0.000009																																														-0.004909	0.004561																			0.000000	
 2 	 13			12.301939		0.000000																																																																																-12.301621								-0.000007												-0.000003																														0.000012																																														-0.005145	0.004841																			0.000000	
 2 	 14			12.455687		0.000000																																																																																-12.455413								-0.000007												-0.000003																														0.000012																																														-0.005123	0.004862																			0.000000	
 2 	 15			13.993400		0.000000																																																																																-13.993132								-0.000008												-0.000003																														0.000011																																														-0.004860	0.004606																			0.000000	
