Name	C_inv	C_maint	C_op
NUCLEAR	590.638527	494.064000	0.000000
CCGT	0.000161	0.000085	0.000000
CCGT_AMMONIA	0.000104	0.000054	0.000000
IMPORTED_COAL_CENTRAL	0.000000	0.000000	0.000000
LOCAL_COAL_CENTRAL	0.000265	0.000108	0.000000
BIOMASS_TO_POWER	0.000099	0.000111	0.000000
PV_ROOFTOP	213.500666	58.331353	0.000000
PV_UTILITY	2769.949913	1442.507348	0.000000
PT_POWER_BLOCK	0.000060	0.000075	0.000000
ST_POWER_BLOCK	0.000050	0.000085	0.000000
WIND_ONSHORE	2018.667846	807.360000	0.000000
WIND_OFFSHORE	3460.968034	3347.577598	0.000000
HYDRO_DAM	2800.339770	418.802855	0.000000
HYDRO_RIVER	2162.938854	646.943440	0.000000
TIDAL	0.000000	0.000000	0.000000
WAVE	0.000000	0.000000	0.000000
GEOTHERMAL	374.153119	170.724013	0.000000
IND_COGEN_GAS	0.000108	0.000147	0.000000
IND_COGEN_WOOD	0.000118	0.000092	0.000000
IND_COGEN_WASTE	0.000146	0.000115	0.000000
IND_BOILER_GAS	0.000146	0.000044	0.000000
IND_BOILER_WOOD	0.000135	0.000040	0.000000
IND_BOILER_OIL	0.000096	0.000031	0.000000
IND_BOILER_COAL	97.617164	29.059365	0.000000
IND_BOILER_WASTE	0.000240	0.000072	0.000000
IND_DIRECT_ELEC	307.955137	18.669937	0.000000
DHN_HP_ELEC	947.191146	683.098931	0.000000
DHN_COGEN_GAS	0.000220	0.000137	0.000000
DHN_COGEN_WOOD	0.000106	0.000082	0.000000
DHN_COGEN_WASTE	0.000140	0.000110	0.000000
DHN_COGEN_WET_BIOMASS	0.000070	0.000242	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000239	0.000156	0.000000
DHN_BOILER_GAS	0.000030	0.000009	0.000000
DHN_BOILER_WOOD	0.000053	0.000016	0.000000
DHN_BOILER_OIL	0.000025	0.000008	0.000000
DHN_DEEP_GEO	0.000656	0.000599	0.000000
DHN_SOLAR	0.000131	0.000004	0.000000
DEC_HP_ELEC	2830.384621	1897.741750	0.000000
DEC_THHP_GAS	0.001116	0.000575	0.000000
DEC_COGEN_GAS	0.000213	0.000241	0.000000
DEC_COGEN_OIL	0.000158	0.000170	0.000000
DEC_ADVCOGEN_GAS	0.000326	0.000112	0.000000
DEC_ADVCOGEN_H2	0.000247	0.000085	0.000000
DEC_BOILER_GAS	0.000209	0.000093	0.000000
DEC_BOILER_WOOD	0.000254	0.000133	0.000000
COAL_STOVE	0.000381	0.000199	0.000000
DEC_BOILER_OIL	0.000134	0.000120	0.000000
DEC_SOLAR	0.005278	0.001020	0.000000
DEC_DIRECT_ELEC	9.724866	0.584217	0.000000
DEC_THHP_GAS_COLD	386.685190	199.445061	0.000000
DEC_ELEC_COLD	4648.369374	3409.901723	0.000000
IND_ELEC_COLD	128.540461	28.847905	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000	0.000000
BUS_COACH_DIESEL	2170.951617	1448.588970	0.000000
BUS_COACH_GASOLINE	0.000000	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
TRAIN_PUB	2574.794701	2779.794511	0.000000
MOTORCYCLE	0.000000	0.000000	0.000000
CAR_GASOLINE	0.000154	0.000081	0.000000
CAR_DIESEL	0.000021	0.000011	0.000000
CAR_NG	0.000034	0.000017	0.000000
CAR_METHANOL	0.000021	0.000011	0.000000
CAR_HEV	0.000030	0.000022	0.000000
CAR_PHEV	0.007356	0.005054	0.000000
MOTORCYCLE_ELECTRIC	0.000000	0.000000	0.000000
CAR_BEV	25767.266247	5477.502356	0.000000
CAR_FUEL_CELL	0.000031	0.000004	0.000000
TRAIN_FREIGHT	115.336956	69.060920	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000	0.000000
TRUCK_DIESEL	0.000062	0.000042	0.000000
TRUCK_GASOLINE	0.000000	0.000000	0.000000
TRUCK_METHANOL	0.000001	0.000001	0.000000
TRUCK_FUEL_CELL	11052.252915	4425.430177	0.000000
TRUCK_ELEC	0.000120	0.000048	0.000000
TRUCK_NG	0.000020	0.000013	0.000000
HABER_BOSCH	0.000247	0.000083	0.000000
OIL_TO_HVC	0.000212	0.000015	0.000000
GAS_TO_HVC	0.000129	0.000067	0.000000
BIOMASS_TO_HVC	1007.097232	515.837870	0.000000
METHANOL_TO_HVC	0.000702	0.001085	0.000000
SYN_METHANOLATION	0.000364	0.000177	0.000000
METHANE_TO_METHANOL	0.000830	0.000752	0.000000
BIOMASS_TO_METHANOL	0.000356	0.000229	0.000000
DAM_STORAGE	0.000000	0.000000	0.000000
PHS	152.881283	0.000000	0.000000
BATT_LI	0.000771	0.000021	0.000000
BEV_BATT	0.000000	0.000000	0.000000
PHEV_BATT	0.000000	0.000000	0.000000
TS_DEC_DIRECT_ELEC	9.287253	1.318697	0.000000
TS_DEC_HP_ELEC	225.331981	31.994878	0.000000
TS_DEC_THHP_GAS	0.000440	0.000063	0.000000
TS_DEC_COGEN_GAS	0.000443	0.000063	0.000000
