Name	Used	Potential
ELECTRICITY	0.000453	Infinity
GASOLINE	0.000591	Infinity
DIESEL	0.000877	Infinity
BIOETHANOL	0.002178	100000.000000
BIODIESEL	0.009502	100000.000000
LFO	0.001392	Infinity
GAS	0.000007	Infinity
GAS_RE	0.000000	0.000000
WOOD	75073.000231	75073.000000
WET_BIOMASS	49781.992405	49782.000000
COAL	0.001547	Infinity
URANIUM	0.000000	0.000000
WASTE	1323.409064	10347.000000
H2	0.000002	Infinity
H2_RE	0.000000	0.000000
AMMONIA	0.000457	Infinity
METHANOL	0.000639	Infinity
AMMONIA_RE	0.000000	0.000000
METHANOL_RE	0.000000	0.000000
ELEC_EXPORT	371.359913	Infinity
H2_EXPORT	0.000003	Infinity
GAS_RE_EXPORT	0.000003	Infinity
AMMONIA_EXPORT	0.000005	Infinity
METHANOL_EXPORT	0.000003	Infinity
CO2_EMISSIONS	13308.097449	Infinity
RES_WIND	205216.403539	Infinity
RES_SOLAR	175224.967004	Infinity
RES_HYDRO	56604.277098	Infinity
RES_GEO	0.003183	Infinity
CO2_ATM	0.000877	Infinity
CO2_INDUSTRY	0.000000	0.000000
CO2_CAPTURED	0.000000	0.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
