Name	C_inv	C_maint	C_op
NUCLEAR	590.638527	494.064000	0.000000
CCGT	0.000024	0.000013	0.000000
CCGT_AMMONIA	0.000026	0.000014	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000022	0.000009	0.000000
BIOMASS_TO_POWER	0.000019	0.000022	0.000000
PV_ROOFTOP	147.869820	58.331351	0.000000
PV_UTILITY	3723.861247	2800.008078	0.000000
PT_POWER_BLOCK	0.000014	0.000018	0.000000
ST_POWER_BLOCK	0.000012	0.000020	0.000000
WIND_ONSHORE	2018.667847	807.360000	0.000000
WIND_OFFSHORE	3460.968036	3347.577600	0.000000
HYDRO_DAM	2800.340656	418.802987	0.000000
HYDRO_RIVER	2162.938853	646.943440	0.000000
TIDAL	0.000000	0.000000	0.000000
WAVE	0.000000	0.000000	0.000000
GEOTHERMAL	374.153126	170.724016	0.000000
IND_COGEN_GAS	0.000021	0.000028	0.000000
IND_COGEN_WOOD	0.000027	0.000021	0.000000
IND_COGEN_WASTE	0.000017	0.000014	0.000000
IND_BOILER_GAS	0.000032	0.000010	0.000000
IND_BOILER_WOOD	34.009249	10.124113	0.000000
IND_BOILER_OIL	0.000023	0.000008	0.000000
IND_BOILER_COAL	0.000023	0.000007	0.000000
IND_BOILER_WASTE	0.000024	0.000007	0.000000
IND_DIRECT_ELEC	1388.116890	84.155294	0.000000
DHN_HP_ELEC	898.487694	647.974789	0.000000
DHN_COGEN_GAS	0.000025	0.000016	0.000000
DHN_COGEN_WOOD	0.000023	0.000018	0.000000
DHN_COGEN_WASTE	0.000018	0.000014	0.000000
DHN_COGEN_WET_BIOMASS	0.000011	0.000036	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000042	0.000025	0.000000
DHN_BOILER_GAS	0.000006	0.000002	0.000000
DHN_BOILER_WOOD	0.000012	0.000004	0.000000
DHN_BOILER_OIL	0.000006	0.000002	0.000000
DHN_DEEP_GEO	0.000139	0.000127	0.000000
DHN_SOLAR	0.000028	0.000001	0.000000
DEC_HP_ELEC	2862.173268	1919.055688	0.000000
DEC_THHP_GAS	0.000053	0.000027	0.000000
DEC_COGEN_GAS	0.000037	0.000042	0.000000
DEC_COGEN_OIL	0.000034	0.000036	0.000000
DEC_ADVCOGEN_GAS	0.000062	0.000021	0.000000
DEC_ADVCOGEN_H2	0.000058	0.000020	0.000000
DEC_BOILER_GAS	0.000046	0.000020	0.000000
DEC_BOILER_WOOD	0.000048	0.000025	0.000000
COAL_STOVE	0.000040	0.000021	0.000000
DEC_BOILER_OIL	0.000034	0.000030	0.000000
DEC_SOLAR	0.001112	0.000215	0.000000
DEC_DIRECT_ELEC	0.000117	0.000007	0.000000
DEC_THHP_GAS_COLD	0.000070	0.000036	0.000000
DEC_ELEC_COLD	5251.033359	3851.997605	0.000000
IND_ELEC_COLD	128.540461	28.847905	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000	0.000000
BUS_COACH_DIESEL	2170.951411	1448.588833	0.000000
BUS_COACH_GASOLINE	0.000000	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
TRAIN_PUB	2574.795186	2779.795035	0.000000
MOTORCYCLE	0.000000	0.000000	0.000000
CAR_GASOLINE	0.000009	0.000005	0.000000
CAR_DIESEL	0.000002	0.000001	0.000000
CAR_NG	0.000007	0.000003	0.000000
CAR_METHANOL	0.000004	0.000002	0.000000
CAR_HEV	0.000005	0.000004	0.000000
CAR_PHEV	0.001849	0.001270	0.000000
MOTORCYCLE_ELECTRIC	0.000000	0.000000	0.000000
CAR_BEV	25767.267730	5477.502672	0.000000
CAR_FUEL_CELL	0.000008	0.000001	0.000000
TRAIN_FREIGHT	115.336956	69.060920	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000	0.000000
BOAT_FREIGHT_METHANOL	0.000000	0.000000	0.000000
TRUCK_DIESEL	0.000001	0.000000	0.000000
TRUCK_GASOLINE	0.000000	0.000000	0.000000
TRUCK_METHANOL	0.000006	0.000004	0.000000
TRUCK_FUEL_CELL	11052.253049	4425.430230	0.000000
TRUCK_ELEC	0.000031	0.000012	0.000000
TRUCK_NG	0.000001	0.000001	0.000000
HABER_BOSCH	0.000193	0.000065	0.000000
OIL_TO_HVC	0.000042	0.000003	0.000000
GAS_TO_HVC	0.000026	0.000014	0.000000
BIOMASS_TO_HVC	399.106323	204.423316	0.000000
METHANOL_TO_HVC	243.197108	375.794675	0.000000
SYN_METHANOLATION	1275.476719	621.360502	0.000000
METHANE_TO_METHANOL	0.000031	0.000028	0.000000
BIOMASS_TO_METHANOL	0.000076	0.000027	0.000000
DAM_STORAGE	0.000000	0.000000	0.000000
PHS	152.881349	0.000000	0.000000
BATT_LI	0.000282	0.000008	0.000000
